Уровень,Компонента,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
3 компоненты,Продовольственные товары,38.826,38.121,37.633,38.054,38.157,36.973,37.612,37.456,38.08,38.001,37.311,36.51,37.085,37.268,38.503,37.97,37.697,39.112,40.206,42.709,45.858,46.852,51.604,53.205,55.32
3 компоненты,Непродовольственные товары,33.494,34.031,35.13,35.626,34.976,35.191,34.809,35.234,35.669,36.513,37.131,37.711,37.119,36.876,35.566,36.247,37.374,35.989,35.131,33.741,33.063,33.277,30.896,30.458,30.567
3 компоненты,Услуги,27.68,27.848,27.237,26.32,26.867,27.836,27.579,27.31,26.251,25.486,25.558,25.779,25.796,25.856,25.931,25.783,24.929,24.899,24.663,23.55,21.079,19.871,17.5,16.337,14.113
6 компонент,"Продовольственные товары (без овощей, картофеля и фруктов)",33.702,33.527,33.462,33.464,33.731,33.126,33.615,33.562,34.209,33.845,33.326,32.824,33.452,33.851,34.319,34.363,34.123,35.287,36.379,38.753,41.754,42.788,46.366,47.877,50.34
6 компонент,"Плодоовощная продукция, включая картофель",5.124,4.594,4.171,4.59,4.426,3.847,3.997,3.894,3.871,4.156,3.985,3.686,3.633,3.417,4.184,3.607,3.574,3.825,3.827,3.956,4.104,4.064,5.238,5.328,4.98
6 компонент,Непрод. тов. без нефтепродуктов,28.851,29.269,30.406,30.971,30.52,30.764,30.454,31.007,32.057,33.113,33.798,34.478,34.07,34.128,32.985,33.755,35.157,33.783,33.044,31.755,31.312,31.772,29.391,28.241,28.075
6 компонент,Нефтепродукты,4.643,4.762,4.724,4.655,4.456,4.427,4.355,4.227,3.612,3.4,3.333,3.233,3.049,2.748,2.581,2.492,2.217,2.206,2.087,1.986,1.751,1.505,1.505,2.217,2.492
6 компонент,Услуги без ЖКХ,18.034,17.952,17.047,16.28,16.746,17.669,17.588,17.409,16.774,16.677,16.68,16.819,16.56,16.653,16.92,16.973,17.038,16.329,15.83,14.653,13.112,11.89,9.466,8.446,6.723
6 компонент,ЖКУ,9.646,9.896,10.19,10.04,10.121,10.167,9.991,9.901,9.477,8.809,8.878,8.96,9.236,9.203,9.011,8.81,7.891,8.57,8.833,8.897,7.967,7.981,8.034,7.891,7.39
44 компоненты,Мясопродукты,8.822,9.072,8.686,9.221,8.992,8.95,9.538,9.307,9.437,9.563,9.687,9.254,9.65,9.781,9.695,9.645,9.585,9.813,10.283,10.711,11.35,11.469,11.958,12.037,12.521
44 компоненты,Рыбопродукты,2.297,2.198,2.151,2.159,2.127,2.056,2.16,2.166,2.135,2.133,2.039,1.895,1.893,1.953,1.924,1.896,1.819,1.761,1.867,1.879,1.963,1.977,2.315,2.334,2.448
44 компоненты,Масло и жиры,1.302,1.185,1.217,1.239,1.197,1.147,1.159,1.194,1.207,1.128,1.076,1.098,1.12,1.178,1.235,1.213,1.26,1.4,1.368,1.596,1.785,2.059,2.624,2.809,3.291
44 компоненты,Молоко и молочная продукция,3.157,3.072,3.249,3.201,3.141,3.113,3.146,3.234,3.072,2.897,2.854,2.765,2.648,2.701,2.762,2.64,2.539,2.817,2.682,2.841,2.982,3.113,3.46,3.598,3.754
44 компоненты,Сыр,1.367,1.314,1.383,1.317,1.291,1.211,1.196,1.183,1.164,1.097,1.14,1.094,1.012,1.063,1.051,0.971,0.927,1.18,0.955,0.991,0.974,0.958,0.972,0.956,0.896
